SUBFAMILY;TRIBE;GENUS HANDBOOK;SPECIES HANDBOOK;SP_reducido;HandbookSp;Sp;diet_Iris;diet_CVA
Callosciurinae;Callosciurini;Exilisciurus;exilis;Exi_exi;Exilisciurus exilis;E.exilis;Bark_gleaner;chew_crush
Callosciurinae;Callosciurini;Exilisciurus;whiteheadi;Exi_whi;Exilisciurus whiteheadi;E.whiteheadi;Bark_gleaner;chew_crush
Callosciurinae;Callosciurini;Funambulus;layardi;Fun_lay;Funambulus layardi;F.layardi;NO_INF;NO_INF
Callosciurinae;Callosciurini;Funambulus;palmarum;Fun_pal;Funambulus palmarum;F.palmarum;Seeds_nuts;chew_crush
Callosciurinae;Callosciurini;Funambulus;pennantii;Fun_pen;Funambulus pennantii;F.pennantii;Frugivorous;chew_crush
Callosciurinae;Callosciurini;Funambulus;sublineatus;Fun_sub;Funambulus sublineatus;F.sublineatus;NO_INF;NO_INF
Callosciurinae;Callosciurini;Funambulus;tristriatus;Fun_tri;Funambulus tristiatus;F.tristriatus;Seeds_nuts;chew_crush
Xerinae;Protoxerini;Funisciurus;anerythrus;Fun_ane;Funisciurus anerythrus;F.anerythrus;Seeds_nuts;chew_crush
Xerinae;Protoxerini;Funisciurus;bayonii;Fun_bay;Funisciurus bayonii;F.bayonii;NO_INF;NO_INF
Xerinae;Protoxerini;Funisciurus;carruthersi;Fun_car;Funisciurus carruthersi;F.carruthersi;Seeds_nuts;chew_crush
Xerinae;Protoxerini;Funisciurus;congicus;Fun_con;Funisciurus congicus;F.congicus;Seeds_nuts;chew_crush
Xerinae;Protoxerini;Funisciurus;duchaillui;Fun_duc;Funisciurus duchaillui;F.duchaillui;Frugivorous;chew_crush
Xerinae;Protoxerini;Funisciurus;isabella;Fun_isa;Funisciurus isabella;F.isabella;Seeds_nuts;chew_crush
Xerinae;Protoxerini;Funisciurus;lemniscatus;Fun_lem;Funisciurus lemniscatus;F.lemniscatus;Seeds_nuts;chew_crush
Xerinae;Protoxerini;Funisciurus;leucogenys;Fun_leu;Funisciurus leucogenys;F.leucogenys;Seeds_nuts;chew_crush
Xerinae;Protoxerini;Funisciurus;pyrropus;Fun_pyr;Funisciurus pyrropus;F.pyrropus;Seeds_nuts;chew_crush
Xerinae;Protoxerini;Funisciurus;substriatus;Fun_sut;Funisciurus substriatus;F.substriatus;NO_INF;NO_INF
Xerinae;Xerini;Geosciurus;inauris;Geo_ina;Geosciurus inauris;G.inauris;mixed_feeder;mixed_feeder
Xerinae;Xerini;Geosciurus;princeps;Geo_pri;Geosciurus princeps;G.princeps;grazer;Grind
Sciurinae;Pteromyini;Glaucomys;sabrinus;Gla_sab;Glaucomys sabrinus;G.sabrinus;Seeds_nuts;chew_crush
Sciurinae;Pteromyini;Glaucomys;volans;Gla_vol;Glaucomys volans;G.volans;Seeds_nuts;chew_crush
Callosciurinae;Callosciurini;Glyphotes;simus;Gly_sim;Glyphotes simus;G.simus;Bark_gleaner;chew_crush
Xerinae;Protoxerini;Heliosciurus;gambianus;Hel_gam;Heliosciurus gambianus;H.gambianus;Seeds_nuts;chew_crush
Xerinae;Protoxerini;Heliosciurus;mutabilis;Hel_mut;Heliosciurus mutabilis;H.mutabilis;Browser;chew_crush
Xerinae;Protoxerini;Heliosciurus;punctatus;Hel_pun;Heliosciurus punctatus;H.punctatus;Browser;chew_crush
Xerinae;Protoxerini;Heliosciurus;rufobrachium;Hel_ruf;Heliosciurus rufobrachium;H.rufobrachium;Seeds_nuts;chew_crush
Xerinae;Protoxerini;Heliosciurus;ruwenzorii;Hel_ruw;Heliosciurus ruwenzorii;H.ruwenzorii;Seeds_nuts;chew_crush
Xerinae;Protoxerini;Heliosciurus;undulatus;Hel_und;Heliosciurus undulatus;H.undulatus;Seeds_nuts;chew_crush
Sciurinae;Pteromyini;Hylopetes;alboniger;Hyl_alb;Hylopetes alboniger;H.alboniger;Browser;chew_crush
Sciurinae;Pteromyini;Hylopetes;bartelsi;Hyl_bar;Hylopetes bartelsi;H.bartelsi;NO_INF;NO_INF
Sciurinae;Pteromyini;Hylopetes;nigripes;Hyl_nig;Hylopetes nigripes;H.nigripes;NO_INF;NO_INF
Sciurinae;Pteromyini;Hylopetes;phayrei;Hyl_pha;Hylopetes phayrei;H.phayrei;Frugivorous;chew_crush
Sciurinae;Pteromyini;Hylopetes;platyurus;Hyl_pla;Hylopetes platyurus;H.platyurus;Seeds_nuts;chew_crush
Sciurinae;Pteromyini;Hylopetes;sagitta;Hyl_sag;Hylopetes sagitta;H.sagitta;NO_INF;NO_INF
Sciurinae;Pteromyini;Hylopetes;sipora;Hyl_sip;Hylopetes sipora;H.sipora;NO_INF;NO_INF
Sciurinae;Pteromyini;Hylopetes;spadiceus;Hyl_spa;Hylopetes spadiceus;H.spadiceus;NO_INF;NO_INF
